NAME;GK;CWP;CBT;SB;DMF;WB;CMF;SMF;AMF;WF;SS;CF;REGISTERED POSITION;HEIGHT;FAVOURED FOOT;FAVOURED SIDE;WEAK FOOT ACCURACY;WEAK FOOT FREQUENCY;ATTACK;DEFENSE;BALANCE;STAMINA;TOP SPEED;ACCELERATION;RESPONSE;AGILITY;DRIBBLE ACCURACY;DRIBBLE SPEED;SHORT PASS ACCURACY;SHORT PASS SPEED;LONG PASS ACCURACY;LONG PASS SPEED;SHOT ACCURACY;SHOT POWER;SHOT TECHNIQUE;FREE KICK ACCURACY;CURLING;HEADING;JUMP;TECHNIQUE;AGGRESSION;MENTALITY;GOAL KEEPING;TEAM WORK;CONSISTENCY;CONDITION / FITNESS;DRIBBLING;TACTIAL DRIBBLE;POSITIONING;REACTION;PLAYMAKING;PASSING;SCORING;1-1 SCORING;POST PLAYER;LINES;MIDDLE SHOOTING;SIDE;CENTRE;PENALTIES;1-TOUCH PASS;OUTSIDE;MARKING;SLIDING;COVERING;D-LINE CONTROL;PENALTY STOPPER;1-ON-1 STOPPER;LONG THROW;INJURY TOLERANCE;DRIBBLE STYLE;FREE KICK STYLE;PK STYLE;DROP KICK STYLE;AGE;WEIGHT;NATIONALITY;CLUB TEAM
Caceda;1;0;0;0;0;0;0;0;0;0;0;0;0;184;R;R;4;4;30;74;77;61;57;61;78;70;52;49;56;56;58;58;44;77;47;44;45;51;77;58;62;67;72;66;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;B;1;1;1;1;31;80;Peru;
Cartagena;0;0;0;0;1;0;1;0;0;0;0;0;5;179;R;B;5;5;61;69;76;81;66;69;75;71;70;60;70;72;70;62;62;75;68;61;67;68;76;77;67;72;50;74;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;B;1;1;1;1;28;72;Peru;
Luis Abram;0;0;1;0;0;0;0;0;0;0;0;0;3;181;L;B;4;3;58;74;75;78;68;72;76;77;70;64;71;74;70;71;61;75;67;62;63;79;82;77;66;68;50;69;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;A;1;1;1;1;26;76;Peru;
Nahitan Nandez;0;0;0;0;1;1;1;1;0;0;0;0;7;171;R;R;5;5;72;69;82;89;71;76;83;85;76;74;76;77;77;67;72;82;75;64;73;60;70;78;83;89;50;83;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;A;1;1;1;1;27;69;Uruguay;
Facundo Torres;0;0;0;0;0;0;0;0;1;1;0;0;10;177;L;B;7;6;77;52;62;83;80;83;75;83;85;82;78;79;78;79;80;72;84;77;76;59;74;85;84;77;50;76;7;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;23;71;Uruguay;
Santiago Bueno;0;0;1;0;0;0;0;0;0;0;0;0;3;190;R;B;5;5;50;80;81;76;58;59;70;62;65;54;76;71;61;46;61;68;64;61;62;78;81;72;53;77;50;74;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;24;76;Uruguay;Wolverhampton Wanderers
L. Rodriguez;0;0;0;0;0;0;0;0;0;1;0;1;10;179;R;B;6;4;79;54;64;76;77;79;72;79;80;80;71;77;78;78;73;74;79;84;76;75;77;82;77;76;50;63;8;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;19;73;Uruguay;
J. Rodriguez;0;0;0;1;0;1;0;1;0;0;0;0;4;183;R;R;5;5;74;67;78;80;77;77;69;73;74;77;71;73;73;73;72;78;75;78;76;61;75;73;75;61;50;77;4;6;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;26;74;Uruguay;
Brian Rodriguez;0;0;0;0;0;0;0;0;1;1;0;0;10;172;R;B;5;5;77;50;60;79;78;85;78;83;84;84;76;80;76;78;69;65;77;69;68;59;75;84;78;65;50;70;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;23;72;Uruguay;
C. Olivera;0;0;0;0;0;0;0;0;0;1;0;1;10;175;R;B;6;5;75;42;66;82;80;89;65;86;84;83;75;80;76;78;68;65;76;73;75;55;70;87;73;52;50;61;3;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;A;1;1;1;1;21;77;Uruguay;
M. Merentiel;0;0;0;0;0;0;0;0;0;1;0;1;10;176;R;B;6;5;81;55;81;81;76;80;80;77;81;80;70;78;67;70;77;78;81;61;63;73;73;80;78;66;50;77;5;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;28;70;Uruguay;
S. Caceres;0;0;1;0;0;0;0;0;0;0;0;0;3;180;R;B;5;5;61;82;80;83;80;79;78;72;68;73;72;70;66;65;72;69;66;50;48;82;83;66;72;74;50;79;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;23;77;Uruguay;
Pellistri;0;0;0;0;0;0;0;1;0;1;0;0;8;175;R;B;5;5;75;45;74;74;76;81;73;87;82;81;73;73;72;70;71;72;73;61;68;60;71;84;76;66;50;69;5;4;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;21;65;Uruguay;Panathinaikos
D. Nunez;0;0;0;0;0;0;0;0;0;0;0;1;12;187;R;B;5;5;84;63;85;90;93;90;81;84;83;88;80;84;76;82;83;90;80;71;79;82;95;82;81;88;50;85;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;25;81;Uruguay;Liverpool FC
Sergio Rochet;1;0;0;0;0;0;0;0;0;0;0;0;0;190;R;B;5;5;31;81;83;64;63;64;82;67;60;56;64;62;65;61;48;82;50;55;51;55;77;61;63;78;76;70;3;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;29;80;Uruguay;
Santiago Mele;1;0;0;0;0;0;0;0;0;0;0;0;0;185;R;B;3;5;30;75;71;78;70;71;79;77;65;64;71;72;63;65;45;63;45;58;45;55;84;56;75;79;74;74;7;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;25;78;Uruguay;
Saracchi;0;0;0;1;0;0;0;0;0;0;0;0;4;172;L;L;3;2;67;62;67;81;76;78;69;84;75;77;72;69;76;71;63;75;67;61;76;63;73;83;82;67;50;68;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;A;1;1;1;1;24;69;Uruguay;
Ugarte;0;0;0;0;1;0;1;0;0;0;0;0;5;182;R;B;5;5;72;72;79;82;68;70;82;74;81;71;83;75;76;68;72;74;65;60;64;64;64;81;81;81;50;82;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;B;1;1;1;1;21;77;Uruguay;
N. Marichal;0;0;1;0;0;0;0;0;0;0;0;0;3;185;R;B;4;6;57;77;67;78;77;75;75;73;72;72;73;73;65;68;65;62;69;53;54;79;77;75;68;70;50;74;6;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;B;1;1;1;1;22;75;Uruguay;
E. Martinez;0;0;0;0;1;0;1;0;0;0;0;0;5;184;R;B;5;6;60;79;74;79;76;78;78;74;76;76;78;79;67;71;71;69;75;63;63;71;75;78;70;72;50;80;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;23;64;Uruguay;
Nicolas Fonseca;0;0;0;0;1;0;1;0;0;0;0;0;5;183;R;B;6;6;55;75;75;80;68;68;75;68;77;72;77;77;81;78;78;77;77;75;74;70;74;76;73;74;50;82;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;24;76;Uruguay;
Lucas Olaza;0;0;0;1;0;1;0;0;0;0;0;0;4;173;L;L;5;6;76;73;62;82;76;79;80;79;70;75;75;75;78;77;73;72;72;84;79;65;74;71;75;70;50;74;5;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;A;1;1;1;1;28;68;Uruguay;FK Krasnodar
Franco Israel;1;0;0;0;0;0;0;0;0;0;0;0;0;190;R;B;5;5;31;81;72;66;62;62;83;68;58;55;61;62;64;65;61;75;46;54;49;55;78;58;48;66;79;63;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;24;82;Uruguay;Sporting CP
Maxi Araujo;0;0;0;1;0;0;0;1;0;1;0;0;8;177;L;L;5;5;78;74;70;81;86;89;78;88;81;83;76;73;76;74;76;72;66;61;73;68;79;83;78;78;50;76;5;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;24;75;Uruguay;Sporting CP
A. Sant'Anna;0;0;0;1;0;1;0;1;0;0;0;0;4;170;R;R;6;5;81;73;75;79;73;79;77;77;75;78;75;75;79;77;72;79;73;80;81;64;74;74;79;67;50;81;6;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;25;69;Uruguay;
Valverde;0;0;0;1;1;0;1;0;0;0;0;0;7;182;R;B;7;6;90;85;85;93;92;86;91;83;89;89;90;90;87;87;84;92;87;77;79;73;85;90;91;89;50;88;7;7;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;25;74;Uruguay;Real Madrid
Soteldo;0;0;0;0;0;0;0;1;1;1;0;0;10;159;R;B;6;6;76;39;72;73;72;76;70;84;83;72;77;66;77;67;75;78;80;75;79;55;66;87;82;70;50;72;5;3;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;25;55;Venezuela;
Rafael Romo;1;0;0;0;0;0;0;0;0;0;0;0;0;184;R;B;4;4;30;77;80;65;62;64;82;75;54;50;58;56;62;58;44;82;48;44;48;45;83;59;68;73;77;72;3;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;33;80;Venezuela;
Pereira;0;0;0;0;1;0;1;0;0;0;0;0;5;184;R;B;5;7;61;72;76;85;76;81;80;79;75;73;80;81;75;76;73;81;73;64;66;75;75;75;77;79;50;82;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;A;1;1;1;1;25;77;Venezuela;
Matias Lacava;0;0;0;0;0;0;0;0;1;1;0;0;10;167;L;B;5;5;76;46;58;80;78;80;77;82;80;81;76;81;73;76;71;65;74;83;75;49;71;84;76;68;50;75;6;7;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;B;1;1;1;1;20;62;Venezuela;
Rincon;0;0;0;1;1;1;1;1;0;0;0;0;5;177;R;B;6;5;65;73;82;87;66;72;81;81;74;71;76;73;75;71;68;83;72;58;65;72;72;80;68;90;50;80;5;5;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;B;1;1;1;1;34;76;Venezuela;
Cadiz;0;0;0;0;0;0;0;0;0;0;0;1;12;190;R;B;6;5;73;47;85;78;78;75;73;66;74;73;62;67;60;64;73;79;73;59;57;86;81;70;72;69;50;64;5;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;27;85;Venezuela;
Salomon Rondon;0;0;0;0;0;0;0;0;0;0;0;1;12;186;R;B;8;7;77;39;82;74;68;64;77;71;75;68;73;71;66;65;80;85;86;75;75;85;78;88;89;70;50;72;5;3;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;B;1;1;1;1;33;91;Venezuela;
Miguel Navarro;0;0;0;1;0;1;0;0;0;0;0;0;4;173;L;L;5;6;67;75;72;80;77;79;71;77;71;73;75;75;78;74;70;71;71;51;55;62;77;61;68;75;50;74;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;24;67;Venezuela;
Yangel Herrera;0;0;0;0;1;0;1;0;1;0;0;0;7;184;R;B;5;5;83;84;85;83;71;72;84;74;85;77;86;85;80;78;81;85;77;67;70;85;88;85;84;84;50;84;6;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;C;1;1;1;1;26;78;Venezuela;Girona FC
Gonzalez;0;0;0;1;0;1;0;1;0;0;0;0;4;177;R;R;5;6;70;67;73;79;78;78;70;75;76;77;77;76;80;78;70;73;74;58;68;67;77;77;73;68;50;79;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;30;75;Venezuela;
Telasco Segovia;0;0;0;0;1;0;1;0;0;0;0;0;5;178;R;B;5;6;60;75;69;80;73;78;78;76;74;74;76;78;72;73;68;68;72;74;77;63;72;77;75;69;50;77;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;20;73;Venezuela;
Darwin Machis;0;0;0;0;0;0;0;1;0;1;1;0;10;170;R;B;5;4;74;43;70;74;76;79;68;82;83;77;70;66;77;69;75;83;80;69;72;61;73;85;84;67;50;68;5;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;29;68;Venezuela;Real Valladolid FC
Ferraresi;0;0;1;1;0;0;0;0;0;0;0;0;3;189;R;R;5;5;66;73;78;73;68;69;72;68;65;63;73;65;64;45;61;68;61;61;62;78;79;69;75;75;50;65;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;24;76;Venezuela;
Yordan Osorio;0;0;1;0;0;0;0;0;0;0;0;0;3;180;R;B;4;5;61;73;81;72;68;64;75;69;71;61;73;71;71;67;59;76;63;59;66;77;78;76;64;69;50;72;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;28;70;Venezuela;Parma Calcio 1913
Jhon Chancellor;0;0;1;0;0;0;0;0;0;0;0;0;3;197;R;B;5;5;51;77;82;78;69;68;81;65;69;69;68;68;58;62;69;68;65;47;50;83;81;58;56;73;50;77;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;31;88;Venezuela;
Savarino;0;0;0;0;0;0;0;0;0;0;0;1;12;170;R;B;5;6;78;28;79;75;79;80;82;82;80;77;71;69;65;70;80;83;81;65;75;83;87;81;90;74;50;74;5;6;1;0;0;1;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;B;1;1;1;1;29;69;Venezuela;
Casseres;0;0;0;0;1;0;1;0;1;0;0;0;5;176;R;B;5;6;57;73;75;82;77;80;74;76;74;76;78;76;71;72;69;71;70;67;72;62;75;74;74;74;50;78;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;23;69;Venezuela;
Makoun;0;0;1;0;1;0;1;0;0;0;0;0;3;186;L;B;5;6;50;75;74;80;68;75;72;72;63;66;74;70;67;69;65;73;66;64;62;75;77;61;60;78;50;78;6;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;23;74;Venezuela;
Kervin Andrade;0;0;0;0;0;0;1;0;1;1;0;0;7;163;R;B;5;6;72;58;55;76;70;76;67;77;72;75;68;71;74;70;65;68;67;84;84;54;73;78;72;77;50;75;7;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;18;62;Venezuela;
Torregrossa;0;0;0;0;0;0;1;0;1;0;0;0;7;183;R;L;8;7;82;61;75;83;69;73;79;77;85;74;91;82;88;80;82;86;81;75;81;81;78;92;84;87;50;91;5;7;0;1;0;1;0;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;B;1;1;1;1;35;79;Venezuela;
Penaranda;0;0;0;0;0;0;0;0;0;1;1;1;12;185;R;B;4;4;68;40;79;74;78;73;70;80;78;74;71;64;70;67;71;80;80;66;64;76;78;81;78;65;50;72;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;25;83;Venezuela;
Eduard Bello;0;0;0;0;0;0;0;1;0;1;0;0;10;176;R;B;7;7;73;47;73;78;75;77;68;78;79;76;76;68;73;66;71;70;74;72;73;63;66;83;68;70;50;71;5;5;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;B;2;1;1;1;27;72;Venezuela;
Roberto Rosales;0;0;0;1;0;0;0;0;0;0;0;0;4;174;R;R;5;4;72;62;71;82;75;75;74;81;77;78;75;69;80;78;66;83;70;69;77;65;76;83;82;72;50;71;5;4;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;B;1;1;1;1;34;73;Venezuela;
Mahmoud;1;0;0;0;0;0;0;0;0;0;0;0;0;180;R;B;4;4;30;76;73;62;55;58;74;75;53;45;55;55;55;52;46;76;52;45;45;52;77;61;59;71;71;70;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;24;72;Free Nationality;
Yousif;0;0;1;1;0;1;0;0;0;0;0;0;4;172;R;R;4;5;68;72;63;78;76;77;70;81;72;73;67;70;68;68;65;58;68;58;61;68;74;67;64;62;50;76;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;21;65;Free Nationality;
Al-Yazidi;0;0;0;0;0;0;0;1;0;1;0;0;8;172;R;R;5;4;70;48;52;75;77;77;53;77;72;72;75;75;77;73;68;57;74;59;61;54;71;70;70;51;50;61;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;21;65;Free Nationality;
Al-Ganehi;0;0;0;0;0;0;0;0;0;1;0;1;10;171;R;B;5;5;72;46;60;79;74;77;67;73;74;75;69;71;69;71;72;61;70;68;69;72;72;74;72;64;50;64;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;22;67;Free Nationality;
Sabah;0;0;0;0;0;0;0;1;0;1;0;0;8;186;L;L;5;5;73;48;57;73;81;81;65;81;73;81;67;72;72;72;64;56;72;60;58;54;75;75;69;61;50;62;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;21;77;Free Nationality;
Al-Hadhrami;0;0;0;0;0;0;0;0;1;1;0;0;10;180;R;B;6;4;73;54;63;81;74;77;72;71;79;78;61;70;61;67;71;62;78;63;57;63;75;80;74;45;50;64;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;22;69;Free Nationality;
Yousef Hassan;1;0;0;0;0;0;1;0;0;0;0;0;0;180;R;B;4;4;31;69;72;68;54;55;68;60;58;49;61;59;61;58;30;66;47;61;49;55;67;69;40;56;71;59;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;26;72;Free Nationality;
Al-Hussain;0;0;0;1;0;1;0;0;0;0;0;0;4;186;L;L;5;5;72;63;76;75;66;58;64;67;69;61;71;75;75;75;62;85;75;68;62;73;66;75;70;82;50;75;5;5;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;29;81;Free Nationality;
Mansour;0;0;0;0;0;0;0;0;0;1;0;0;10;186;R;B;6;5;69;50;61;78;74;74;69;70;72;73;71;74;71;71;72;69;71;69;69;67;75;75;68;67;50;72;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;20;77;Free Nationality;
Al-Ahrak;0;0;0;0;0;0;1;0;1;0;0;0;7;175;R;B;5;6;73;65;56;76;77;76;74;75;78;78;79;79;78;76;68;64;75;64;71;68;74;76;75;56;50;72;3;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;26;71;Free Nationality;
Aiash;0;0;1;0;1;0;0;0;0;0;0;0;3;180;R;B;5;5;67;69;68;67;59;61;69;71;72;61;73;67;72;64;61;71;72;64;62;77;74;79;69;73;50;68;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;32;73;Free Nationality;
Al-Hassan;0;0;0;0;1;0;1;0;0;0;0;0;5;177;R;B;4;5;52;59;59;71;70;79;66;72;62;61;74;70;64;66;56;66;67;46;50;57;68;62;59;50;50;63;3;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;17;70;Free Nationality;
Yousef Aymen;0;0;1;1;1;0;0;0;0;0;0;0;3;179;R;B;4;4;40;72;64;50;58;54;65;72;46;46;54;51;54;49;40;60;61;44;44;78;67;62;46;61;50;57;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;25;73;Free Nationality;
Shehab El lethy;1;0;0;0;0;0;0;0;0;0;0;0;0;180;R;B;4;6;30;71;55;66;77;73;77;70;44;53;71;64;81;73;45;81;45;57;45;55;80;42;74;83;63;65;8;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;23;70;Free Nationality;
Al-Mejaba;0;0;0;0;0;0;0;0;0;0;1;1;12;194;R;B;5;5;78;36;75;72;63;68;75;78;72;67;73;70;69;65;81;79;87;66;72;78;77;82;84;71;50;71;5;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;B;1;1;1;1;29;89;Free Nationality;
Khaled Gouda;0;0;1;1;1;0;0;0;0;0;0;0;3;182;R;B;5;5;42;79;77;69;65;59;63;64;54;52;58;55;59;53;43;67;65;41;44;75;78;68;62;69;50;72;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;32;76;Free Nationality;
Yousef Marei;0;0;0;1;0;0;0;0;0;0;0;0;4;174;R;R;4;4;63;74;72;67;63;66;72;72;75;64;76;69;71;65;70;74;77;74;74;65;75;80;75;76;50;77;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;2;1;1;1;29;62;Free Nationality;
Nabil Erfan;0;0;1;1;1;0;0;0;0;0;0;0;3;175;R;B;5;5;61;75;70;69;64;66;74;69;73;64;75;69;76;65;61;70;69;61;62;77;76;81;66;76;50;77;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;25;70;Free Nationality;
Ahmed Al-Rawi;0;0;0;0;0;0;0;0;0;0;0;1;12;180;R;B;6;5;61;45;59;72;68;81;73;71;71;75;63;67;63;66;78;59;73;59;56;73;76;78;54;61;50;59;3;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;19;73;Free Nationality;
M. Jamshid;0;0;0;0;0;0;0;0;0;1;1;1;12;177;L;B;5;5;67;41;73;75;66;70;73;74;77;67;61;58;58;52;77;79;82;68;73;74;71;81;68;69;50;66;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;29;76;Free Nationality;
Hazem Ahmed;0;0;0;1;0;0;0;0;0;0;0;0;4;186;L;L;3;3;65;71;70;76;63;69;69;68;71;55;73;62;76;62;61;68;71;61;62;72;76;83;74;73;50;63;5;5;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;23;78;Free Nationality;
Al-Amin;0;0;0;0;1;0;0;0;0;0;0;0;5;168;R;B;5;5;62;66;70;65;53;62;63;75;65;53;69;62;63;50;61;68;67;61;62;61;70;74;63;74;50;73;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;26;65;Free Nationality;
Fares Said;0;0;0;0;0;0;1;0;0;0;0;0;7;178;R;B;4;6;55;57;54;67;76;81;61;78;68;65;64;64;57;58;57;52;69;55;56;53;72;63;66;57;50;59;3;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;20;72;Free Nationality;
Noorafkan;0;0;0;1;1;0;0;0;0;0;0;0;5;182;L;B;7;7;63;73;68;68;60;60;70;69;70;60;74;70;77;71;61;76;74;74;74;70;66;77;67;72;50;72;4;4;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;25;78;Iran;
J. Aghaeipour;0;0;0;0;0;0;0;0;0;1;0;1;10;181;R;B;5;6;65;48;55;75;77;76;61;78;68;76;62;66;68;69;68;60;65;54;60;64;67;67;61;64;50;63;3;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;23;74;Iran;
H. Pourhamidi;1;0;0;0;0;0;0;0;0;0;0;0;0;186;R;B;4;5;30;77;75;74;80;71;80;74;56;66;81;76;75;73;45;73;45;53;45;55;87;40;77;55;77;75;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;25;83;Iran;
M. Ghorbani;0;0;1;0;1;0;1;0;0;0;0;0;3;190;R;B;5;7;57;69;63;82;70;70;76;65;71;69;81;75;74;72;64;65;68;66;66;71;77;62;64;74;50;79;8;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;22;80;Iran;
Azmoun;0;0;0;0;0;0;0;0;0;0;0;1;12;186;R;B;6;4;79;35;75;76;77;75;77;75;78;72;73;70;71;67;77;80;81;60;69;81;88;84;82;69;50;79;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;B;1;1;1;1;27;79;Iran;
Beiranvand;1;0;0;0;0;0;0;0;0;0;0;0;0;194;R;B;3;3;30;76;77;66;55;53;84;60;50;46;55;55;64;57;44;76;48;44;48;44;70;57;50;62;70;67;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;C;1;1;1;1;30;81;Iran;
Saleh Hardani;0;0;0;1;0;1;0;1;0;1;0;0;4;176;R;R;5;6;70;78;63;73;81;81;67;74;78;79;74;75;77;76;72;66;75;65;74;66;74;74;71;70;50;78;5;7;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;24;67;Iran;
